1	Mit értünk hajón a Szabályzat I. része alapján? Hajó	"a nagyhajó, a kishajó, a vízi sporteszköz és az úszóm?."	"a belvízi hajó, beleértve a kishajót és kompot, továbbá a tengeri hajó és az úszómunkagép."	minden vízijárm? és úszómunkagép.		2
213	"Hegymenetben hajózva a jobb parti táblákat (feltakaró jeleket) látja. Kell-e módosítania hajójának útirányát, ha az átmenet tengelyében kíván hajózni?"	A táblák egymáshoz viszonyított helyzete és az átmenet tengelye között nincs összefüggés.	"Igen, mert az egymás mögött elhelyezett táblák akkor jelölik az átmenet tengelyét, ha takarásban (egy tengelyben) látszanak."	"Nem, mert az egymás mögött elhelyezett táblák a képen látható helyzetükben is az átmenet tengelyét jelölik."	teszt-0616.jpg	2
214	Mit jelez a két parti tábla (feltakaró jelek)?	"A hajóút parthoz viszonyított helyzetét jelzik és a víziúton elhelyezett jelekkel együtt megjelölik a hajóutat azokon a helyeken, ahol az a bal parthoz közelít."	"A hajóút egyik partból a másikba való (hosszabb) átmenetének kezdetét, illetve végét jelzik a bal parton."	"A hajóút egyik partból a másikba való (hosszabb) átmenetének kezdetét, illetve végét jelzik a jobb parton."	xxx-0610.jpg	2
215	"Völgymenetben hajózva a bal parti táblákat (feltakaró jeleket) látja. Kell-e módosítania hajójának útirányát, ha az átmenet tengelyében kíván hajózni?"	A táblák egymáshoz viszonyított helyzete és az átmenet tengelye között nincs összefüggés.	"Igen, mert az egymás mögött elhelyezett táblák akkor jelölik az átmenet tengelyét, ha takarásban (egy tengelyben) látszanak."	"Nem, mert az egymás mögött elhelyezett táblák a képen látható helyzetükben is az átmenet tengelyét jelölik."	xxx-0615.jpg	2
216	"Hegymenetben hajózva a bal parti táblákat (feltakaró jeleket) látja. Kell-e módosítania hajójának útirányát, ha az átmenet tengelyében kíván hajózni?"	"Nem, mert az egymás mögött elhelyezett táblák a képen látható helyzetükben is az átmenet tengelyét jelölik."	A táblák egymáshoz viszonyított helyzete és az átmenet tengelye között nincs összefüggés.	"Igen, mert az egymás mögött elhelyezett táblák akkor jelölik az átmenet tengelyét, ha takarásban (egy tengelyben) látszanak."	xxx-0617.jpg	3
217	Melyik jelzéssel jelölik a hajóút jobb szélet és a jobb part közeli veszélyeket?	1.	4.	6.	teszt-0598.jpg	1
218	Melyik jelzéssel jelölik a hajóút jobb szélet és a jobb part közeli veszélyeket?	1.	4.	6.	teszt-0600.jpg	1
219	Melyik jelzéssel jelölik a hajóút bal szélet és a bal part közeli veszélyeket?	1.	4.	8.	teszt-0598.jpg	2
220	Melyik jelzéssel jelölik a hajóút bal szélet és a bal part közeli veszélyeket?	1.	4.	6.	teszt-0604.jpg	1
221	"Melyik jelzéssel jelölik a hajóút szétágazását vagy összefolyását, valamint a hajóúton belül elhelyezked?, mindkét irányból kerülhet? akadályokat?"	1.	4.	6.	teszt-0598.jpg	3
222	"Melyik jelzéssel jelölik a hajóút szétágazását vagy összefolyását, valamint a hajóúton belül elhelyezked?, mindkét irányból kerülhet? akadályokat?"	2.	6.	8.	teszt-0602.jpg	2
223	Melyik jelzéssel jelölik a hajóút jobb szélét és a jobb part közötti vesztegl?helyet?	1.	4.	8.	teszt-0598.jpg	3
224	Melyik jelzéssel jelölik a hajóút bal szélét és a bal part közötti vesztegl?helyet?	2.	4.	7.	teszt-0599.jpg	1
225	"Melyik jelzéssel jelölik a hajóútnak a jobb part fel?l a bal part felé tartó irányát (átmenetének kezdetét, végét a jobb parton)?"	1.	3.	7.	teszt-0641.jpg	1
226	"Melyik jelzéssel jelölik a jobb part felé tartó irányát (átmenetének kezdetét, végét a bal parton)?"	1.	3.	7.	teszt-0641.jpg	3
227	"Melyik jelzéssel jelölik a hajóút parthoz viszonyított helyzetét ott, ahol a jobb parthoz közelít?"	2.	4.	8.	teszt-0641.jpg	1
228	"Melyik jelzéssel jelölik a hajóút parthoz viszonyított helyzetét ott, ahol a bal parthoz közelít?"	2.	4.	8.	teszt-0641.jpg	2
229	"Melyik jelzéssel jelölik a jobb parti veszélyes helyeket, a mederbe benyúló különféle m?tárgyakat (gát, vezet?m?, stb.)?"	2.	3.	5.	teszt-0641.jpg	2
230	"Melyik jelzéssel jelölik a bal parti veszélyes helyeket, a mederbe benyúló különféle m?tárgyakat (gát, vezet?m?, stb.)?"	2.	"3,"	5.	teszt-0641.jpg	3
231	Mit jelent a tábla?	Korlátozottan igénybe vehet? víziút szakasz!	Áthaladási tilalom!	"Irányjel, a hajóút tengelyének jelzésére."	xxx-0364.jpg	2
232	"Áthajózhat-e a képen látható m?tárgy átjáró nyílásán, ha az átjáró felett egy vörös-fehér-vörös vízszintes csíkozású táblát lát kihelyezve?"	"Igen, az áthajózás engedélyezett."	"Csak akkor, ha az ellenkez? irányból nem közeledik más hajó."	"Nem, az áthaladás tilos!"	xxx-0365.jpg	3
233	A képen látható m?tárgy felé hajózik. Mit jelöl a képen látható jelzések közül a 4-es számú (vörös-fehér-vörös) tábla?	A tábla a zsilipbe történ? behajózás tilalmát jelöli!	A zsilipbe és a duzzasztóm? vízterületére történ? behajózás tilalmát jelöli!	A tábla a duzzasztóm? nyílásán történ? áthaladás tilalmát jelöli!	teszt-0135.jpg	3
234	Völgymenetben a Rákóczi híd felé hajózik. Mit jelöl a 2-es számmal jelzett tábla?	A völgymeneti hajózás számára kijelölt hídnyílást jelöli.	Áthaladási tilalmat jelöl a hídnyílásban!	A hídnyílásban történ? áthajózáskor az el?zést és a találkozást tiltja!	teszt-3335.jpg	2
235	Mit jelölnek a hajóhíd nyílásai felett elhelyezett (vörös-fehér-vörös) táblák?	"Áthaladási tilalmat, kivéve a kis magasságú hajókat!"	Áthaladási tilalmat a táblával jelzett átjárókban!	"Áthaladási tilalmat, mivel a hajóhíd nyitási el?készület alatt áll!"	xxx-2190.jpg	2
236	Mit jelölnek a hajóhídon elhelyezett 1-es számú (vörös-fehér-vörös) táblák?	A nyílásokban való áthaladási tilalmat!	"A nyílásokban való áthaladási tilalmat, kivéve a kis magasságú hajókat!"	"A nyílásokban való áthaladási tilalmat, mert a hajóhíd nyitási el?készület alatt áll!"	xxx-2192.jpg	1
237	Mi a jelentése a hídon látható állandó vörös fénynek?	A hajóút tengelyét jelz? fény.	Irányjel a hajóút jobb szélén.	Áthaladási tilalom!	teszt-1729.jpg	3
238	Egy zsilip felé hajózva a képen látható jelzéseket látja. Mit jelent a 3-as számú állandó vörös fény?	"A zsilipen történ? áthaladás tilalmát jelöli, mivel a zsilip zárva van!"	"A zsilipen történ? áthaladás tilalmát jelöli, mivel a zsilip nem üzemel!"	A zsilip térségére vonatkozó veszteglési tilalmat jelöl!	teszt-0142.jpg	1
239	Mi a jelentése az egymás mellett elhelyezett két állandó vörös fénynek?	Irányjel a hajóút jobb szélén.	Áthaladási tilalom!	Tartós áthaladási tilalom!	teszt-1728.jpg	2
240	Mi a jelentése az ábrán látható tábláknak?	A hajózás mindkét irányban tilos!	Az áthaladás tartósan tilos!	Jobb parti irányjel és feltakaró jel.	xxx-1923.jpg	2
241	Mit jelölnek az ábrán látható 2-es számmal jelzett (vörös-fehér-vörös) táblák? A duzzasztóm?	nyílásain való váltakozó kétirányú áthajózás lehet?ségét.	nyílásain való tartós áthaladási tilalmat!	nyílásainak tengelyét.	teszt-0151.jpg	2
242	Éjszaka a képen látható híd felé hajózik. Mit jelölnek az állandó vörös fények?	"A hajóút tengelyét jelölik abban a hídnyílásban, ahol azokat elhelyezték."	"Tartós áthajózási tilalmat jelentenek abban a hídnyílásban (átjáróban), ahol azokat elhelyezték."	"Magasságkorlátozást jelölnek abban a hídnyílásban, ahol azokat elhelyezték."	teszt-3339.jpg	2
243	"Mit jelent az ábrán látható egy, illetve két vörös lobogó felmutatása?"	"Hajózási korlátozásra utaló jelzés, tudakozódni kell!"	Kishajónak nem tekinthet? hajók találkozására javasolt oldalának jelzése.	Áthaladási tilalmat jelent!	teszt-0157.jpg	3
244	Melyik táblával jelzik az áthaladás tilalmát?	1.	2.	3.	teszt-0158.jpg	1
245	Melyik jelzéssel jelzik az áthaladás tilalmát?	Az 1-es felül vörös alatta fehér állandó fényekkel.	A 2-es állandó vörös fénnyel.	A 3-as táblával.	teszt-0159.jpg	2
246	Mi a tábla jelentése? A víziút táblával megjelölt szakaszán	magányos hajók kivételével tilos az el?zés!	tilos az el?zés!	kötelékek kivételével tilos az el?zés!	teszt-2573.jpg	2
247	"Melyik táblával tiltják általánosan, de csak az el?zést?"	1.	2.	3.	teszt-0163.jpg	2
248	Mi a tábla jelentése? A víziút táblával megjelölt szakaszán	kötelékek kivételével tilos az el?zés!	tilos mindenféle el?zés!	kötelékek egymás közötti el?zése tilos!	teszt-2577.jpg	3
249	Melyik táblával/táblákkal tiltják kötelékek egymás közötti el?zését?	Az 1-es és a 2-es tábla.	A 2-es és a 3-as tábla.	Az 1-es és a 3-as tábla.	teszt-0165.jpg	1
250	Mi a tábla jelentése? A víziút táblával megjelölt szakaszán	magányos hajók kivételével tilos a találkozás és az el?zés!	kötelékek kivételével tilos a találkozás és az el?zés!	tilos a találkozás és el?zés!	teszt-2578.jpg	3
251	Melyik táblával jelzik a találkozás és el?zés általános tilalmát?	1.	2.	3.	teszt-0163.jpg	3
252	Mi a tábla jelentése? A víziút táblával megjelölt szakaszán	kötelékek egymás közötti találkozása és el?zése tilos!	kötelékek kivételével tilos a találkozás és az el?zés!	"találkozni tilos, de az el?zés megengedett!"	teszt-0168.jpg	1
253	Mit jelöl a képen látható 1. számú tábla? A tábla	a kiegészít? közlekedési rend hatálya alá tartozó víziút szakaszának kezdetét jelzi.	"tiltja a veszteglést (horgonyon vagy a parthoz kikötve) a víziútnak azon az oldalán és szakaszán, ahol azt elhelyezték."	a víziút veszteglésre kijelölt szakaszának végét jelzi.	teszt-3348.jpg	2
254	Mi a jelentése az ábrán látható tábláknak?	A jelek közti 600 m hosszú szakaszon vesztegelni (horgonyon vagy parthoz kikötve) tilos!	A jelek között 600 m-nél hosszabb kötelék nem vesztegelhet.	A parttól 600 m távolságig tilos a veszteglés (horgonyon vagy parthoz kikötve)!	teszt-0171.jpg	1
255	Melyik táblával jelölik a veszteglésre tiltott vízterület szélességét?	1.	2.	3.	xxx-0194.jpg	1
256	Mi a jelentése a képen látható 1. számú táblának? A tábla tiltja a	"horgonyzást, horgony, kötél és lánc vonszolását a kiegészít? jelzések hatálya alá tartozó vízterületen."	a veszteglést horgonyon vagy parthoz kikötve a kiegészít? jelzések hatálya alá tartozó vízterületen.	"a horgonyzást, horgony, kötél és lánc vonszolását a kiegészít? jelzések hatálya alá tartozó vízterületen túl."	teszt-3352.jpg	1
257	Mi a jelentése az ábrán látható tábláknak?	50 méternél rövidebb horgonylánccal rendelkez? hajó horgonyzása tilos!	A jelzések közti szakaszon legkevesebb 50 m hosszú horgonyláncot kell használni!	"A jelzések közti 50 m hosszú szakaszon horgonyozni, horgonyt, kötelet és láncot vonszolni tilos!"	teszt-0172.jpg	3
258	Mit jelent a tábla?	Tilos a parti kötél használat!	A kiépített kiköt?bak használata veszélyes!	Tilos a parthoz kikötni!	teszt-0173.jpg	3
259	Mi a táblák jelentése? A víziút táblákkal jelzett szakaszán	túl tilos megfordulni!	tilos megfordulni!	"fokozott el?vigyázat, veszélyes áramlási viszonyok!"	teszt-2588.jpg	2
260	Mi a táblák jelentése? A víziút táblákkal jelölt szakaszán	a csatornahatás miatt csökkentse sebességét!	veszélyes hullámok alakulhatnak ki!	hullámzást kelteni tilos!	teszt-0178.jpg	3
261	Melyik állandó fényjelzéssel jelezhetik a hullámkeltés tilalmát?	1.	2.	3.	teszt-0182.jpg	1
262	Mit jelent a hídon látható két tábla? A hídnyíláson (fehérrel) jelzett	területen kívül (annál szélesebben) tilos az átjárót igénybe venni!	területe sz?kületet képez!	területen kívül magasság- és mélységkorlátozásra kell számítani!	teszt-3355.jpg	1
263	Mit jelöl a duzzasztóm? 3-as számmal jelzett nyílása felett látható (két darab vörös-fehér rombusz alakú) tábla?	A két tábla a (fehérrel) jelzett területen kívüli magasság- és mélységkorlátozást jelzi!	A duzzasztóm? jelzett része felnyitható.	"A duzzasztóm?nyílás (fehérrel) jelzett területén kívül, annál szélesebben tilos az átjárót igénybe venni!"	teszt-0184.jpg	3
264	Mit jelentenek az ábrán látható (vörös és zöld) fények?	"Az áthaladás tilos, de az induláshoz készüljön fel!"	Magasság- vagy mélységkorlátozás figyelembe vételével az áthaladás engedélyezett!	Az áthaladás rövid id?n múlva tiltott lesz!	teszt-0186.jpg	1
265	Mi a tábla jelentése? A táblával megjelölt vízterületen	géphajók közlekedése tilos!	géphajónak nem tekinthet? hajók közlekedése tilos!	tilos bels?égés? motorral hajtott fedélzeti gépüzemi berendezések m?ködtetése!	xxx-0197.jpg	1
266	Mi a tábla jelentése? A táblával megjelölt vízterületen	tilos kedvtelési célú vízijárm?vek közlekedése!	tilos mindenféle sporttevékenység!	sportverseny miatt a hajózás tilos!	xxx-0363.jpg	1
267	Mi a parti tábla jelentése? A táblával megjelölt vízterületen	a vízisízés tilos!	kötélvontatású eszközök alkalmazása tilos!	"vízisíverseny zajlik, tilos a behajózás!"	xxx-0288.jpg	1
268	Melyik táblával jelölik a vitorlás hajóval való közlekedés tilalmát?	1.	2.	3.	xxx-0201.jpg	3
269	Melyik táblával jelölik a vitorlás deszkával való közlekedés tilalmát?	1.	2.	3.	xxx-0202.jpg	1
270	Mi a parti tábla jelentése? A táblával megjelölt vízterületen	géphajónak és vitorlás hajónak nem min?sül? hajók kivételével más hajók közlekedése tilos!	géphajónak és vitorlás hajónak nem min?sül? hajók közlekedése tilos!	"evez?s verseny, behajózni tilos!"	xxx-0290.jpg	2
271	Mi a parti tábla jelentése? A táblával megjelölt vízterületen	tilos vitorlás hajóval közlekedni!	vitorlás deszka közlekedésére kijelölt pálya vége!	tilos vitorlás deszkával közlekedni!	xxx-0291.jpg	3
272	Mi a parti tábla jelentése? A táblával megjelölt vízterületen	sporthajók nagysebesség? közlekedése tiltott!	géphajók közlekedése a nagysebesség? hajók kivételével tilos!	vége a sport és kedvtelési kishajók nagy sebesség? közlekedésére engedélyezett zónának!	xxx-0292.jpg	3
273	Mi a tábla jelentése?	Hajók vízrebocsátása és partra húzása tilos!	A sólyapálya használata tilos!	"Meredek partszakasz, utánfutó használata tilos!"	teszt-3357.jpg	1
274	Mi a parti tábla jelentése? A táblával megjelölt vízterületen	motoros vízi sporteszköz nagysebesség? közlekedése tiltott!	motoros vízi sporteszközzel közlekedni tilos!	"kijelölt sportpálya, sport- és kedvtelési célú hajóval tilos közlekedni!"	xxx-0294.jpg	2
275	Mit jelent a tábla?	"A nyíllal jelzett irányban hajózási korlátozás, tudakozódjon!"	A nyíllal jelzett irányban tilos hajózni!	A nyíllal jelzett irányban köteles haladni!	teszt-2590.jpg	3
276	Mit jelent a képen látható 1-es számú tábla?	"Kitérési kötelezettség balra, a víziút táblával megjelölt szakaszán!"	Köteles a hajóútnak a hajó bal oldala felé es? részére hajózni!	Köteles a víziút bal partja mentén hajózni!	teszt-0326.jpg	2
